Year,County,Surgery,# of Cases (ICD 10)
2013,Alameda,Stomach,1
2013,Alameda,Colon,3
2013,Alameda,Breast,2
2013,Alameda,Brain,8
2013,Alameda,Colon,12
2013,Alameda,Prostate,4
2013,Alameda,Esophagus,1
2013,Alameda,Breast,95
2013,Alameda,Rectum,2
2013,Alameda,Lung,6
2013,Alameda,Stomach,3
2013,Alameda,Pancreas,1
2013,Alameda,Rectum,6
2013,Alameda,Lung,12
2013,Alameda,Esophagus,2
2013,Alameda,Colon,22
2013,Alameda,Breast,34
2013,Alameda,Brain,1
2013,Alameda,Prostate,8
2013,Alameda,Breast,293
2013,Alameda,Colon,74
2013,Alameda,Rectum,24
2013,Alameda,Liver,13
2013,Alameda,Prostate,59
2013,Alameda,Bladder,21
2013,Alameda,Stomach,14
2013,Alameda,Esophagus,14
2013,Alameda,Lung,46
2013,Alameda,Pancreas,12
2013,Alameda,Esophagus,1
2013,Alameda,Prostate,2
2013,Alameda,Breast,194
2013,Alameda,Stomach,7
2013,Alameda,Liver,10
2013,Alameda,Rectum,19
2013,Alameda,Colon,43
2013,Alameda,Bladder,9
2013,Alameda,Pancreas,6
2013,Alameda,Lung,21
2013,Alameda,Rectum,14
2013,Alameda,Lung,22
2013,Alameda,Colon,43
2013,Alameda,Pancreas,10
2013,Alameda,Stomach,11
2013,Alameda,Liver,7
2013,Alameda,Breast,208
2013,Alameda,Esophagus,2
2013,Alameda,Prostate,19
2013,Alameda,Liver,1
2013,Alameda,Prostate,1
2013,Alameda,Breast,17
2013,Alameda,Bladder,1
2013,Alameda,Rectum,3
2013,Alameda,Colon,7
2013,Alameda,Breast,39
2013,Alameda,Rectum,5
2013,Alameda,Lung,3
2013,Alameda,Esophagus,1
2013,Alameda,Prostate,3
2013,Alameda,Brain,7
2013,Alameda,Colon,24
2013,Alameda,Stomach,2
2013,Alameda,Breast,20
2013,Alameda,Rectum,1
2013,Alameda,Colon,8
2013,Alameda,Stomach,1
2013,Alameda,Lung,3
2013,Alameda,Breast,64
2013,Alameda,Esophagus,3
2013,Alameda,Rectum,5
2013,Alameda,Colon,25
2013,Alameda,Bladder,1
2013,Alameda,Breast,54
2013,Alameda,Colon,13
2013,Alameda,Stomach,1
2013,Alameda,Liver,1
2013,Alameda,Pancreas,1
2013,Alameda,Brain,27
2013,Alameda,Rectum,3
2013,Alameda,Prostate,3
2013,Alameda,Lung,10
2013,Amador,Colon,7
2013,Amador,Breast,3
2013,Butte,Colon,2
2013,Butte,Breast,48
2013,Butte,Rectum,3
2013,Butte,Colon,14
2013,Butte,Lung,4
2013,Butte,Breast,28
2013,Butte,Stomach,1
2013,Butte,Prostate,13
2013,Butte,Rectum,1
2013,Butte,Lung,1
2013,Butte,Colon,12
2013,Butte,Rectum,7
2013,Butte,Colon,41
2013,Butte,Stomach,1
2013,Butte,Lung,14
2013,Butte,Brain,6
2013,Butte,Breast,158
2013,Butte,Bladder,4
2013,Butte,Prostate,10
2013,Calaveras,Colon,2
2013,Calaveras,Breast,9
2013,Colusa,Colon,1
2013,Contra Costa,Breast,17
2013,Contra Costa,Prostate,1
2013,Contra Costa,Bladder,1
2013,Contra Costa,Stomach,2
2013,Contra Costa,Colon,11
2013,Contra Costa,Rectum,6
2013,Contra Costa,Breast,77
2013,Contra Costa,Rectum,3
2013,Contra Costa,Stomach,1
2013,Contra Costa,Colon,18
2013,Contra Costa,Colon,9
2013,Contra Costa,Stomach,1
2013,Contra Costa,Bladder,1
2013,Contra Costa,Breast,33
2013,Contra Costa,Prostate,3
2013,Contra Costa,Brain,37
2013,Contra Costa,Stomach,1
2013,Contra Costa,Liver,5
2013,Contra Costa,Prostate,2
2013,Contra Costa,Pancreas,2
2013,Contra Costa,Colon,32
2013,Contra Costa,Breast,107
2013,Contra Costa,Bladder,2
2013,Contra Costa,Lung,36
2013,Contra Costa,Esophagus,5
2013,Contra Costa,Colon,78
2013,Contra Costa,Stomach,3
2013,Contra Costa,Prostate,11
2013,Contra Costa,Rectum,26
2013,Contra Costa,Breast,375
2013,Contra Costa,Pancreas,1
2013,Contra Costa,Lung,46
2013,Contra Costa,Bladder,4
2013,Contra Costa,Liver,1
2013,Contra Costa,Colon,30
2013,Contra Costa,Lung,28
2013,Contra Costa,Prostate,54
2013,Contra Costa,Stomach,3
2013,Contra Costa,Breast,68
2013,Contra Costa,Rectum,21
2013,Contra Costa,Esophagus,6
2013,Contra Costa,Prostate,16
2013,Contra Costa,Lung,3
2013,Contra Costa,Breast,104
2013,Contra Costa,Colon,19
2013,Contra Costa,Rectum,4
2013,Contra Costa,Liver,1
2013,Contra Costa,Breast,104
2013,Contra Costa,Pancreas,10
2013,Contra Costa,Colon,42
2013,Contra Costa,Liver,31
2013,Contra Costa,Stomach,12
2013,Contra Costa,Bladder,2
2013,Contra Costa,Rectum,6
2013,Contra Costa,Prostate,1
2013,Del Norte,Colon,4
2013,Del Norte,Breast,18
2013,El Dorado,Colon,4
2013,El Dorado,Breast,11
2013,El Dorado,Lung,3
2013,El Dorado,Rectum,5
2013,El Dorado,Prostate,1
2013,El Dorado,Stomach,1
2013,El Dorado,Colon,19
2013,El Dorado,Breast,45
2013,Fresno,Lung,14
2013,Fresno,Stomach,8
2013,Fresno,Pancreas,4
2013,Fresno,Rectum,10
2013,Fresno,Liver,2
2013,Fresno,Bladder,3
2013,Fresno,Esophagus,3
2013,Fresno,Colon,38
2013,Fresno,Prostate,35
2013,Fresno,Breast,362
2013,Fresno,Lung,11
2013,Fresno,Stomach,9
2013,Fresno,Colon,28
2013,Fresno,Prostate,50
2013,Fresno,Brain,37
2013,Fresno,Bladder,1
2013,Fresno,Liver,22
2013,Fresno,Breast,47
2013,Fresno,Pancreas,17
2013,Fresno,Rectum,14
2013,Fresno,Rectum,10
2013,Fresno,Breast,146
2013,Fresno,Lung,28
2013,Fresno,Prostate,38
2013,Fresno,Stomach,1
2013,Fresno,Colon,24
2013,Fresno,Brain,4
2013,Fresno,Breast,38
2013,Fresno,Prostate,8
2013,Fresno,Brain,6
2013,Fresno,Stomach,1
2013,Fresno,Rectum,2
2013,Fresno,Lung,6
2013,Fresno,Breast,129
2013,Fresno,Bladder,1
2013,Fresno,Colon,33
2013,Fresno,Colon,24
2013,Fresno,Stomach,3
2013,Fresno,Rectum,16
2013,Fresno,Lung,18
2013,Fresno,Pancreas,2
2013,Fresno,Liver,3
2013,Humboldt,Breast,3
2013,Humboldt,Colon,9
